9.36995,Mean_Pupil_Size,Blink_Freq,Gaze_Disp,Label
2,4.79866,0.16666,6.35479,1
2,5.36866,0.1,2.66069,1
2,5.03,0.2,2.40270,1
2,4.64866,0.13333,6.53979,1
2,4.417,0.2,3.63974,1
2,4.56933,0.16666,3.96695,1
2,5.33296,0.03333,12.17320,1
2,4.60517,0.06666,2.59654,1
2,4.86857,0.36666,40.27257,1
2,3.96368,0.16666,11.79580,1
2,3.58583,0.16666,11.15419,1
2,3.59655,0.23333,3.53003,1
2,3.17578,0.2,14.46335,1
2,3.96777,0.06666,13.02200,1
2,4.19909,0.13333,16.34507,1
2,,0.13333,4.10962,1
2,2.4,0.13333,3.53927,1
2,3.08111,0.16666,4.02847,1
2,3.34869,0.16666,10.68327,1
2,3.57296,0.16666,15.19867,1
2,4.21133,0.13333,8.29229,1
2,3.85633,0.16666,4.14470,1
2,4.321,0.1,6.33191,1
2,4.573,0.13333,14.08644,1