ID,Mean_Pupil_Size,Blink_Freq,Gaze_Disp,Label
1,21.16667,0.23333,2.57648,0
1,20.393,0.16666,6.16023,0
1,20.34033,0.2,2.15854,0
1,20.66466,0.2,2.06188,0
1,20.033,0.26666,3.34210,0
1,19.007,0.36666,2.13331,0
1,19.927,0.4,2.07347,0
1,19.98933,0.16666,1.58773,0
1,20.34566,0.46666,2.27931,0
1,20.325,0.33333,2.60488,0
1,20.69333,0.26666,1.79423,0
1,20.61766,0.16666,2.93171,0
1,20.30866,0.16666,3.13146,0
1,19.52633,0.23333,8.47632,0
1,20.298,0.06666,2.48538,0
1,20.17533,0.1,2.10388,0
1,20.708,0.16666,1.35994,0
1,20.80166,0.13333,2.05334,0
1,20.652,0.1,1.72673,0
1,20.62566,0.3,3.38632,0
1,20.39733,0.3,1.89406,0
1,20.90966,0.1,6.94173,0
1,20.78633,0.23333,2.09452,0